Title,Link,Citations,Year,Category
Modern slavery in supply chains: a systematic literature review,https://www.tandfonline.com/doi/pdf/10.1080/13675567.2022.2118696,27,2024,Review
Frames of consumer mobilization and modern slavery,https://www.sciencedirect.com/science/article/pii/S0167811624000934/pdf?md5=5cb8becd451df4dc9fc6a6422f6005c3&pid=1-s2.0-S0167811624000934-main.pdf,0,2024,Article
UK agriculture and care visas: worker exploitation and obstacles to redress,https://durham-repository.worktribe.com/preview/2330167/2330132VoR.pdf,2,2024,Review
Occupational Safety Program regarding Preventive Measures of Occupational Health Hazards among Agriculture Child Labor,https://journals.ekb.eg/article_349263_5b8f0ee630929b78060bac22c470b2bc.pdf,0,2024,Article
Exploited: The Unexpected Victims of Animal Agriculture,https://lawcommons.lclark.edu/cgi/viewcontent.cgi?article=1331&context=alr,0,2024,Article
Combating Child Laboure In Pakistan's Agriculture Sector: Current Scenario And Emerging Policy Challenges,https://kurdishstudies.net/menu-script/index.php/KS/article/download/3128/2096,0,2024,Article
CONSTRUCTION OF LEGAL PROTECTION AGAINST CHILDREN VICTIMS OF PSYCHICAL VIOLENCE IN THE HOUSE,https://www.ejournalugj.com/index.php/HERMENEUTIKA/article/download/9276/4099,0,2024,Article
Towards sustainable success: A framework for assessing performance of sustainable manufacturing adoption in Indian textile industry,https://www.sciencedirect.com/science/article/pii/S2666188824000662,2,2024,Article
"A systematic literature review of modern slavery in supply chain management: State of the art, framework development and research opportunities",https://orca.cardiff.ac.uk/id/eprint/165040/8/1-s2.0-S0959652623044591-main.pdf,5,2023,Review
The Role of Stakeholders' Collaboration in Eliminating Child Labor: A Case of Indonesia's Agriculture Sector,http://jurnalpengabdianmasyarakatbangsa.com/index.php/jpmba/article/download/351/241,0,2023,Article
Socially responsible supply chain initiatives and their outcomes: a taxonomy of manufacturing companies,https://www.researchgate.net/profile/Fernando-Picasso/publication/354419318_Socially_responsible_supply_chain_initiatives_and_their_outcomes_a_taxonomy_of_manufacturing_companies/links/6142354928667828a89811f4/Socially-responsible-supply-chain-initiatives-and-their-outcomes-a-taxonomy-of-manufacturing-companies.pdf?origin=journalDetail&_tp=eyJwYWdlIjoiam91cm5hbERldGFpbCJ9,19,2023,Article
Unprotected Youth Workers in US Agriculture,https://www.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2023.1064143/pdf,0,2023,Article
Rural child labor in a village in Fayoum Governorate,https://journals.ekb.eg/article_311914_56375d4d17f96bf86f800eea2273aaf3.pdf,0,2023,Article
The trade effects of information provision about forced and child labor,https://www.sciencedirect.com/science/article/pii/S0305750X23000359,4,2023,Article
Journal of Agriculture and Food Research,https://www.researchgate.net/profile/Fred-Ankuyi/publication/376278128_Impact_of_children's_appropriate_work_participation_in_cocoa_farms_on_household_welfare_Evidence_from_Ghana/links/6574cea76610947889b14270/Impact-of-childrens-appropriate-work-participation-in-cocoa-farms-on-household-welfare-Evidence-from-Ghana.pdf,0,2023,Article
Precarious Employment and Bonded Labor: Assessment from Agriculture Sector of Punjab (Pakistan),https://poverty.com.pk/index.php/Journal/article/download/458/408,0,2023,Article
Sustainable Manufacturing: A Review and Framework Derivation,https://www.mdpi.com/2071-1050/16/1/119/pdf,6,2023,Review
Disappearing Dalit Haruwa-Charuwa labor in Tarai Agriculture: Causes and Consequences of Land Fragmentation,https://nepjol.info/index.php/naj/article/download/58799/43899,0,2023,Article
Fertile Lands: Fertility and Agriculture in an 8 Billion World: An empirical study on how agricultural output affects fertility rates in Sub-Saharan Africa,https://www.diva-portal.org/smash/get/diva2:1736216/FULLTEXT01.pdf,0,2023,Article
Modern slavery and the employment relationship: Exploring the continuum of exploitation,https://www.researchgate.net/profile/Martijn-Boersma/publication/358080674_Modern_slavery_and_the_employment_relationship_Exploring_the_continuum_of_exploitation/links/63eab5b04dcb750da7571969/Modern-slavery-and-the-employment-relationship-Exploring-the-continuum-of-exploitation.pdf,32,2022,Article
Addressing forced labor in supply chains in California,https://www.sciencedirect.com/science/article/pii/S2590198222001956,8,2022,Article
Reconceptualising responses to the UK's 2015 Modern Slavery Act: a construction industry case study,https://research-information.bris.ac.uk/ws/portalfiles/portal/348089232/Christopher_Pesterfield_PhD_thesis_2022.pdf,0,2022,Article
The green transition in context—cobalt responsible sourcing for battery manufacturing,http://cegemi.com/wp-content/uploads/2015/08/Deberdt_LeBillon_Cobalt-Review_Author-Copy.pdf,25,2022,Review
Impact of Economic Globalization on Agriculture in Asian Developing Countries,https://www.researchgate.net/profile/Budi-Setiawan-19/publication/369553391_The_Relationship_Between_Business_and_Politics_A_Study_of_Rent-Seeking_in_Indonesia/links/6421e47aa1b72772e42f703a/The-Relationship-Between-Business-and-Politics-A-Study-of-Rent-Seeking-in-Indonesia.pdf#page=233,0,2022,Article
Sustainable procurement and modern slavery risks in development and construction: a case study in Australia,,0,2022,Article
Ethical recruitment and employment in the construction industry in India: Perspectives and experiences of workers and micro-contractors,https://knowledgecommons.popcouncil.org/cgi/viewcontent.cgi?article=2795&context=departments_sbsr-pgy,1,2022,Article
Modern slavery statements: From regulation to substantive supply chain reporting,https://www.sciencedirect.com/science/article/pii/S0959652621020904,42,2021,Article
Modern slavery in business: The sad and sorry state of a non-field,https://journals.sagepub.com/doi/pdf/10.1177/0007650320930417,170,2021,Article
… Fair Labor Standards Act Violates the International Labour Organization's ILO Convention No. 182 in Failing to Provide Protections for Children Working in Agriculture,https://digitalcommons.wcl.american.edu/cgi/viewcontent.cgi?article=1052&context=stu_upperlevel_papers,1,2021,Article
"Socio-economic factors behind the prevalence of child labor in agriculture sector of district Lasbela, Balochistan, Pakistan",http://www.pjia.com.pk/index.php/pjia/article/download/215/160,2,2021,Article
Investigation of Seasonal Female and Child Labor Use in Cotton Agriculture: The Case of Mardin Province,https://dergipark.org.tr/en/download/article-file/2442943,0,2021,Article
Understanding the manufacturing plant of Foxconn: Global visions and local practices in the labor regime of China,https://www.researchgate.net/profile/Bin-Jiang-14/publication/349430171_Understanding_the_Manufacturing_Plant_of_Foxconn_Global_Visions_and_Local_Practices_in_the_Labor_Regime_of_China/links/603638a292851c4ed591849b/Understanding-the-Manufacturing-Plant-of-Foxconn-Global-Visions-and-Local-Practices-in-the-Labor-Regime-of-China.pdf,3,2021,Article
The network contract: an instrument to contrast labour exploitation in agriculture. The Italian case,https://iris.unito.it/bitstream/2318/1827601/1/13566-Article%20Text-52952-1-10-20211221.pdf,3,2021,Article
What are the Risks to Minors who Work in the Construction Industry?,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10141679/,2,2021,Article
"Pandemic, lockdown and modern slavery among Sri Lanka's global assembly line workers",https://vc.bridgew.edu/cgi/viewcontent.cgi?article=2359&context=jiws,20,2021,Article
International Construction Law: The Development of the Business and Human Rights Treaty and its Implications on Migrant Workers,https://georgia-international-journal.scholasticahq.com/article/35565.pdf,0,2021,Article
Concept Environmental and Social Review Summary (ESRS)-Resilient and Sustainable Water in Agriculture-P175747,,0,2021,Review
Social Issues in Supply Chain Sustainability–Focus Areas for Energy and Manufacturing sectors in India and USA,http://ecsdev.org/ojs/index.php/ejsd/article/download/1186/1169,5,2021,Article
A Study of Discourse Strategies of Counter-Ideology Construction by Global Times Editorials in Response to the US-Western Actions on Human Rights …,,0,2021,Article
Book review: The Discursive Construction of Economic Inequality: CADS Approaches to the British Media by Eva M. Gómez-Jiménez and Michael Toolan,,0,2021,Review
"David Moon, The American Steppes: The Unexpected Russian Roots of Great Plains Agriculture, 1870s-1930s",https://pubs.lib.uiowa.edu/annals-of-iowa/article/id/31483/download/pdf/,0,2021,Article
Capitalism and unfree labor: a review of Marxist perspectives on modern slavery,https://eprints.whiterose.ac.uk/149433/22/Rioux%2C%20LeBaron%20and%20Verovsek%20-%20Capitalism%20and%20unfree%20labour.pdf,99,2020,Review
Making a global poverty chain: export footwear production and gendered labor exploitation in Eastern and Central Europe,https://sussex.figshare.com/articles/journal_contribution/Making_a_global_poverty_chain_export_footwear_production_and_gendered_labor_exploitation_in_Eastern_and_Central_Europe/23470463/1/files/41179088.pdf,36,2020,Article
"An analytical study of child labour in the agriculture sector of the rural areas of central Punjab, Pakistan",https://dl.nsf.gov.lk/bitstream/handle/1/25162/SLJSS_43_1_21.pdf?sequence=2,16,2020,Article
"The North Korean Workers in Russia: problematizing the"" forced labor"" discourse",https://muse.jhu.edu/article/748244/pdf,8,2020,Article
Traceability in the construction supply chain,https://repository.lboro.ac.uk/articles/thesis/Traceability_in_the_construction_supply_chain/14754492/1/files/28353285.pdf,0,2020,Article
From lean manufacturing to smart factory: communication in work organization processes in contemporary capitalism.,https://www.researchgate.net/profile/Claudia-Nociolini-Rebechi/publication/342110412_FROM_LEAN_MANUFACTURING_TO_SMART_FACTORY_COMMUNICATION_IN_WORK_ORGANIZATION_PROCESSES_IN_CONTEMPORARY_CAPITALISM/links/5ee2aa9c92851ce9e7dcaad9/FROM-LEAN-MANUFACTURING-TO-SMART-FACTORY-COMMUNICATION-IN-WORK-ORGANIZATION-PROCESSES-IN-CONTEMPORARY-CAPITALISM.pdf,1,2020,Article
Lost in Translation: Sustainability down the Construction Supply Chain,https://www.iso20400.org/wp-content/uploads/formidable/16/Article-ISO20400-publication-version-8.1.20.pdf,2,2020,Article
Understanding Culture Within the Construction Industry through Lifelong Learning (SLO 24),https://digitalcommons.calpoly.edu/cgi/viewcontent.cgi?article=1500&context=cmsp,0,2020,Article
Child labor and health: a systematic literature review of the impacts of child labor on child's health in low-and middle-income countries,https://academic.oup.com/jpubhealth/article-pdf/41/1/18/28546266/fdy018.pdf,195,2019,Article
Brick kilns of Nepal: a non-governmental organization perspective,https://www.scirp.org/journal/paperinformation?paperid=90373,13,2019,Article
Trade and Child Labor: A Review of Literature,https://www.researchgate.net/profile/Bilal-Tariq/publication/338583931_Trade_and_Child_Labor_A_Review_of_Literature/links/5e2002ed458515ba208a86e0/Trade-and-Child-Labor-A-Review-of-Literature.pdf,5,2019,Article
Modern slavery challenges to supply chain management,https://www.nottingham.ac.uk/research/beacons-of-excellence/rights-lab/resources/academic-publications/2019/march/trautrims-supply-chain-management.pdf,409,2015,Article
Building trust between consumers and corporations: The role of consumer perceptions of transparency and social responsibility,https://www.researchgate.net/profile/Gwendolyn-Hustvedt/publication/258162027_Building_Trust_Between_Consumers_and_Corporations_The_Role_of_Consumer_Perceptions_of_Transparency_and_Social_Responsibility/links/55e710a908ae3e121841fc3a/Building-Trust-Between-Consumers-and-Corporations-The-Role-of-Consumer-Perceptions-of-Transparency-and-Social-Responsibility.pdf,664,2014,Article
Modern slavery as a management practice: Exploring the conditions and capabilities for human exploitation,https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=2070311,649,2013,Article
Impacts of corporate code of conduct on labor standards: A case study of Reebok's athletic footwear supplier factory in China,,440,2008,Article
Responsibility: The new business imperative,https://www.researchgate.net/profile/Charles-Bodwell/publication/282750114_Responsibility_The_new_business_imperative/links/602cd6574585158939ad7155/Responsibility-The-new-business-imperative.pdf,1175,2002,Article
The apparel industry response to “sweatshop” concerns: A review and analysis of codes of conduct,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1745-493X.1999.tb00062.x,426,1999,Review